iter	Passed	Remaining
424	2112	2857
425	2116	2852
426	2121	2846
427	2125	2841
428	2130	2835
429	2134	2829
430	2139	2824
431	2143	2818
432	2148	2813
433	2152	2807
434	2157	2802
435	2162	2796
436	2166	2791
437	2171	2785
438	2175	2780
439	2180	2775
440	2185	2769
441	2189	2764
442	2194	2759
443	2198	2753
444	2203	2748
445	2207	2742
446	2212	2737
447	2217	2731
448	2221	2726
449	2225	2720
450	2230	2715
451	2235	2710
452	2240	2705
453	2245	2700
454	2249	2694
455	2254	2689
456	2258	2683
457	2263	2678
458	2267	2672
459	2272	2667
460	2277	2662
461	2282	2657
462	2287	2652
463	2292	2647
464	2297	2643
465	2302	2638
466	2307	2633
467	2311	2627
468	2316	2623
469	2321	2617
470	2326	2612
471	2331	2607
472	2335	2602
473	2340	2596
474	2344	2591
475	2349	2586
476	2354	2581
477	2359	2576
478	2364	2571
479	2368	2566
480	2373	2561
481	2379	2556
482	2384	2552
483	2389	2547
484	2394	2542
485	2399	2537
486	2403	2531
487	2407	2526
488	2413	2521
489	2418	2517
490	2423	2512
491	2428	2507
492	2432	2501
493	2437	2496
494	2442	2492
495	2446	2486
496	2451	2481
497	2457	2476
498	2462	2471
499	2467	2467
500	2472	2462
501	2477	2457
502	2482	2452
503	2487	2447
504	2492	2442
505	2497	2438
506	2502	2433
507	2506	2427
508	2511	2422
509	2516	2417
510	2520	2412
511	2525	2406
512	2529	2401
513	2534	2396
514	2539	2391
515	2543	2385
516	2548	2381
517	2554	2376
518	2558	2371
519	2563	2366
520	2569	2362
521	2575	2358
522	2580	2353
523	2586	2349
524	2591	2344
525	2596	2339
526	2601	2335
527	2606	2330
528	2611	2325
529	2617	2320
530	2622	2316
531	2627	2311
532	2632	2306
533	2636	2300
534	2641	2295
535	2645	2290
536	2649	2284
537	2654	2279
538	2658	2274
539	2663	2268
540	2667	2263
541	2672	2258
542	2677	2253
543	2682	2248
544	2686	2243
545	2691	2237
546	2696	2232
547	2700	2227
548	2705	2222
549	2709	2217
550	2714	2211
551	2719	2207
552	2724	2201
553	2729	2197
554	2734	2192
555	2739	2187
556	2744	2182
557	2749	2177
558	2753	2172
559	2758	2167
560	2762	2161
561	2767	2156
562	2771	2151
563	2776	2146
564	2780	2140
565	2784	2135
566	2789	2130
567	2794	2125
568	2799	2120
569	2803	2115
570	2808	2110
571	2813	2104
572	2817	2099
573	2822	2094
574	2826	2089
575	2831	2084
576	2835	2079
577	2840	2074
578	2845	2068
579	2849	2063
580	2854	2058
581	2858	2053
582	2863	2048
583	2867	2042
584	2872	2037
585	2876	2032
586	2881	2027
587	2885	2022
588	2890	2016
589	2895	2012
590	2900	2006
591	2904	2001
592	2909	1996
593	2913	1991
594	2918	1986
595	2923	1981
596	2927	1976
597	2932	1971
598	2937	1966
599	2942	1961
600	2947	1956
601	2951	1951
602	2956	1946
603	2960	1941
604	2965	1936
605	2969	1930
606	2974	1925
607	2978	1920
608	2983	1915
609	2988	1910
610	2992	1905
611	2997	1900
612	3001	1895
613	3006	1890
614	3010	1884
615	3015	1879
616	3020	1874
617	3024	1869
618	3029	1864
619	3033	1859
620	3038	1854
621	3042	1849
622	3047	1843
623	3051	1838
624	3055	1833
625	3060	1828
626	3065	1823
627	3070	1818
628	3074	1813
629	3079	1808
630	3083	1803
631	3088	1798
632	3093	1793
633	3097	1788
634	3102	1783
635	3106	1778
636	3111	1772
637	3115	1767
638	3120	1762
639	3124	1757
640	3129	1752
641	3133	1747
642	3138	1742
643	3142	1737
644	3147	1732
645	3153	1727
646	3158	1723
647	3163	1718
648	3169	1713
649	3174	1709
650	3179	1704
651	3185	1700
652	3190	1695
653	3195	1690
654	3200	1685
655	3207	1681
656	3213	1677
657	3219	1673
658	3224	1668
659	3230	1664
660	3235	1659
661	3241	1655
662	3247	1650
663	3253	1646
664	3257	1641
665	3262	1636
666	3266	1631
667	3271	1625
668	3275	1620
669	3282	1616
670	3287	1611
671	3292	1606
672	3296	1601
673	3301	1596
674	3306	1591
675	3310	1586
676	3315	1581
677	3319	1576
678	3323	1571
679	3328	1566
680	3332	1561
681	3337	1556
682	3342	1551
683	3346	1546
684	3351	1541
685	3355	1536
686	3360	1530
687	3364	1525
688	3369	1520
689	3373	1515
690	3378	1510
691	3383	1505
692	3387	1500
693	3392	1495
694	3396	1490
695	3401	1485
696	3405	1480
697	3410	1475
698	3415	1470
699	3420	1466
700	3425	1461
701	3430	1456
702	3435	1451
703	3439	1446
704	3444	1441
705	3450	1436
706	3454	1431
707	3458	1426
708	3463	1421
709	3468	1416
710	3473	1412
711	3478	1407
712	3483	1402
713	3488	1397
714	3493	1392
715	3497	1387
716	3501	1382
717	3506	1377
718	3511	1372
719	3516	1367
720	3522	1362
721	3527	1358
722	3532	1353
723	3538	1348
724	3542	1343
725	3548	1339
726	3554	1334
727	3559	1329
728	3564	1325
729	3572	1321
730	3579	1317
731	3586	1312
732	3591	1308
733	3596	1303
734	3601	1298
735	3607	1293
736	3612	1289
737	3617	1284
738	3623	1279
739	3629	1275
740	3634	1270
741	3639	1265
742	3644	1260
743	3649	1255
744	3654	1250
745	3659	1245
746	3664	1241
747	3669	1236
748	3674	1231
749	3679	1226
750	3684	1221
751	3689	1216
752	3694	1211
753	3699	1207
754	3704	1202
755	3710	1197
756	3715	1192
757	3721	1187
758	3726	1183
759	3730	1178
760	3735	1173
761	3740	1168
762	3745	1163
763	3750	1158
764	3755	1153
765	3760	1148
766	3765	1143
767	3770	1138
768	3775	1134
769	3780	1129
770	3785	1124
771	3790	1119
772	3795	1114
773	3799	1109
774	3804	1104
775	3808	1099
776	3813	1094
777	3817	1089
778	3822	1084
779	3827	1079
780	3832	1074
781	3836	1069
782	3840	1064
783	3845	1059
784	3851	1054
785	3855	1049
786	3860	1044
787	3865	1039
788	3870	1034
789	3875	1030
790	3879	1025
791	3884	1020
792	3889	1015
793	3893	1010
794	3898	1005
795	3902	1000
796	3907	995
797	3911	990
798	3917	985
799	3922	980
800	3927	975
801	3933	971
802	3938	966
803	3942	961
804	3947	956
805	3952	951
806	3956	946
807	3961	941
808	3966	936
809	3971	931
810	3975	926
811	3981	921
812	3985	916
813	3990	911
814	3994	906
815	3999	901
816	4004	897
817	4009	892
818	4015	887
819	4020	882
820	4024	877
821	4029	872
822	4034	867
823	4038	862
824	4043	857
825	4047	852
826	4052	847
827	4057	842
828	4061	837
829	4066	832
830	4070	827
831	4075	822
832	4080	817
833	4084	813
834	4089	808
835	4093	803
836	4098	798
837	4103	793
838	4107	788
839	4112	783
840	4117	778
841	4121	773
842	4126	768
843	4130	763
844	4135	758
845	4139	753
846	4144	748
847	4149	743
848	4153	738
849	4158	733
850	4162	728
851	4167	723
852	4171	718
853	4176	713
854	4181	709
855	4185	704
856	4190	699
857	4194	694
858	4199	689
859	4203	684
860	4208	679
861	4212	674
862	4217	669
863	4222	664
864	4226	659
865	4231	654
866	4236	649
867	4240	644
868	4245	639
869	4249	635
870	4254	630
871	4259	625
872	4263	620
873	4268	615
874	4272	610
875	4277	605
876	4282	600
877	4286	595
878	4291	590
879	4295	585
880	4300	580
881	4304	575
882	4309	571
883	4315	566
884	4320	561
885	4324	556
886	4329	551
887	4334	546
888	4338	541
889	4343	536
890	4348	531
891	4352	527
892	4357	522
893	4361	517
894	4366	512
895	4370	507
896	4375	502
897	4380	497
898	4384	492
899	4389	487
900	4393	482
901	4398	477
902	4402	472
903	4407	468
904	4411	463
905	4416	458
906	4420	453
907	4425	448
908	4429	443
909	4434	438
910	4439	433
911	4444	428
912	4448	423
913	4453	419
914	4457	414
915	4462	409
916	4466	404
917	4471	399
918	4476	394
919	4480	389
920	4485	384
921	4490	379
922	4494	374
923	4499	370
924	4505	365
925	4510	360
926	4514	355
927	4519	350
928	4524	345
929	4528	340
930	4533	335
931	4537	331
932	4542	326
933	4546	321
934	4551	316
935	4555	311
936	4560	306
937	4564	301
938	4569	296
939	4574	291
940	4578	287
941	4583	282
942	4589	277
943	4593	272
944	4599	267
945	4605	262
946	4610	258
947	4616	253
948	4620	248
949	4626	243
950	4631	238
951	4637	233
952	4642	228
953	4648	224
954	4653	219
955	4658	214
956	4665	209
957	4670	204
958	4675	199
959	4680	195
960	4686	190
961	4691	185
962	4697	180
963	4702	175
964	4707	170
965	4712	165
966	4718	161
967	4724	156
968	4729	151
969	4735	146
970	4740	141
971	4745	136
972	4751	131
973	4756	126
974	4763	122
975	4768	117
976	4773	112
977	4778	107
978	4784	102
979	4790	97
980	4797	92
981	4803	88
982	4810	83
983	4816	78
984	4821	73
985	4826	68
986	4832	63
987	4836	58
988	4841	53
989	4846	48
990	4851	44
991	4856	39
992	4860	34
993	4865	29
994	4869	24
995	4874	19
996	4878	14
997	4883	9
998	4887	4
999	4892	0
