METERHEAD;R_MF_9A_6P;R_MF_6P_10;R_SA_9A_6P;R_SA_6P_10;R_SU_9A_6P;R_SU_6P_10;RATE_MISC;TIMEINEFFE;T_MF_9A_6P;T_MF_6P_10;T_SA_9A_6P;T_SA_6P_10;T_SU_9A_6P;T_SU_6P_10;TIME_MISC;CREDITCARD;PAY_PHONE;Geom;Geo Local Area;METERID;geo_point_2d
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54045;"{""coordinates"": [-123.14273600830685, 49.26357646765526], ""type"": ""Point""}";Fairview;301634;49.26357646765526, -123.14273600830685
Twin;$4.00;$3.00;$4.00;$3.00;$4.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54039;"{""coordinates"": [-123.14703537912433, 49.270626013727025], ""type"": ""Point""}";Kitsilano;B11828;49.270626013727025, -123.14703537912433
Twin;$4.00;$3.00;$4.00;$3.00;$4.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52721;"{""coordinates"": [-123.14720900627181, 49.27062867111242], ""type"": ""Point""}";Kitsilano;B11834;49.27062867111242, -123.14720900627181
Twin;$4.00;$3.00;$4.00;$3.00;$4.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52749;"{""coordinates"": [-123.14737974666724, 49.27063133191907], ""type"": ""Point""}";Kitsilano;B11836;49.27063133191907, -123.14737974666724
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;52756;"{""coordinates"": [-123.1554205290986, 49.236104158233125], ""type"": ""Point""}";Arbutus Ridge;935508;49.236104158233125, -123.1554205290986
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;54757;"{""coordinates"": [-123.1554283213051, 49.2358731856651], ""type"": ""Point""}";Arbutus Ridge;935518;49.2358731856651, -123.1554283213051
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50749;"{""coordinates"": [-123.15564369445495, 49.23536344058279], ""type"": ""Point""}";Arbutus Ridge;935601;49.23536344058279, -123.15564369445495
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53537;"{""coordinates"": [-123.1556464934866, 49.23525310104019], ""type"": ""Point""}";Arbutus Ridge;935605;49.23525310104019, -123.1556464934866
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54787;"{""coordinates"": [-123.1556464934866, 49.23525310104019], ""type"": ""Point""}";Arbutus Ridge;935607;49.23525310104019, -123.1556464934866
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54731;"{""coordinates"": [-123.15568469597495, 49.23417804477441], ""type"": ""Point""}";Kerrisdale;935711;49.23417804477441, -123.15568469597495
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53711;"{""coordinates"": [-123.1556895098547, 49.23405760981675], ""type"": ""Point""}";Kerrisdale;935715;49.23405760981675, -123.1556895098547
Single;$2.00;$3.00;$2.00;$3.00;$2.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50765;"{""coordinates"": [-123.10164706728588, 49.26376711934531], ""type"": ""Point""}";Mount Pleasant;A80125;49.26376711934531, -123.10164706728588
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54642;"{""coordinates"": [-123.16228599146555, 49.23460773940789], ""type"": ""Point""}";Arbutus Ridge;K12418;49.23460773940789, -123.16228599146555
Twin;$5.00;$1.00;$5.00;$1.00;$5.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51214;"{""coordinates"": [-123.12482036741083, 49.26348845914587], ""type"": ""Point""}";Fairview;300909;49.26348845914587, -123.12482036741083
Twin;$5.00;$1.00;$5.00;$1.00;$5.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51242;"{""coordinates"": [-123.12499562886093, 49.263495555792886], ""type"": ""Point""}";Fairview;300915;49.263495555792886, -123.12499562886093
Single;$3.00;$2.00;$3.00;$2.00;$3.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;3 Hr;3 Hr;3 Hr;;No;61625;"{""coordinates"": [-123.1180852294096, 49.273567732885965], ""type"": ""Point""}";Downtown;341049;49.273567732885965, -123.1180852294096
Twin;$3.00;$2.00;$3.00;$2.00;$3.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;3 Hr;3 Hr;3 Hr;;No;64714;"{""coordinates"": [-123.11824641660341, 49.273567334170345], ""type"": ""Point""}";Downtown;341051;49.273567334170345, -123.11824641660341
Twin;$3.00;$2.00;$3.00;$2.00;$3.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;3 Hr;3 Hr;3 Hr;;No;61501;"{""coordinates"": [-123.11841677657341, 49.27355681523501], ""type"": ""Point""}";Downtown;341055;49.27355681523501, -123.11841677657341
Twin;$3.00;$2.00;$3.00;$2.00;$3.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;3 Hr;3 Hr;3 Hr;;No;61411;"{""coordinates"": [-123.11841677657341, 49.27355681523501], ""type"": ""Point""}";Downtown;341057;49.27355681523501, -123.11841677657341
Twin;$3.00;$4.00;$3.00;$4.00;$3.00;$4.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;64768;"{""coordinates"": [-123.11922148057808, 49.27338027567799], ""type"": ""Point""}";Downtown;341107;49.27338027567799, -123.11922148057808
Twin;$2.00;$3.00;$2.00;$3.00;$2.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52046;"{""coordinates"": [-123.0694969563521, 49.270809209459976], ""type"": ""Point""}";Grandview-Woodland;6C1512;49.270809209459976, -123.0694969563521
Twin;$2.00;$3.00;$2.00;$3.00;$2.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52054;"{""coordinates"": [-123.06949841754742, 49.27069466378707], ""type"": ""Point""}";Grandview-Woodland;6C1518;49.27069466378707, -123.06949841754742
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54438;"{""coordinates"": [-123.10831939242719, 49.262996769997315], ""type"": ""Point""}";Mount Pleasant;300130;49.262996769997315, -123.10831939242719
Twin;$6.00;$1.00;$6.00;$1.00;$6.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52627;"{""coordinates"": [-123.11986188589734, 49.261622706160615], ""type"": ""Point""}";Fairview;812620;49.261622706160615, -123.11986188589734
Twin;$4.00;$1.00;$4.00;$1.00;$4.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54059;"{""coordinates"": [-123.11988222330987, 49.261053738018454], ""type"": ""Point""}";Fairview;812708;49.261053738018454, -123.11988222330987
Twin;$5.00;$1.00;$5.00;$1.00;$5.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51045;"{""coordinates"": [-123.1254462002102, 49.26350487224709], ""type"": ""Point""}";Fairview;300923;49.26350487224709, -123.1254462002102
Twin;$5.00;$1.00;$5.00;$1.00;$5.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51241;"{""coordinates"": [-123.12562323718193, 49.26350746841083], ""type"": ""Point""}";Fairview;300925;49.26350746841083, -123.12562323718193
Twin;$5.00;$1.00;$5.00;$1.00;$5.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51213;"{""coordinates"": [-123.12562323718193, 49.26350746841083], ""type"": ""Point""}";Fairview;300927;49.26350746841083, -123.12562323718193
Twin;$5.00;$1.00;$5.00;$1.00;$5.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50125;"{""coordinates"": [-123.12596782743393, 49.26351267026449], ""type"": ""Point""}";Fairview;300933;49.26351267026449, -123.12596782743393
Twin;$3.00;$3.00;$3.00;$3.00;$3.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;65807;"{""coordinates"": [-123.11919009595327, 49.28040401897444], ""type"": ""Point""}";Downtown;600810;49.28040401897444, -123.11919009595327
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50269;"{""coordinates"": [-123.17067090416796, 49.26403239056826], ""type"": ""Point""}";Kitsilano;302910;49.26403239056826, -123.17067090416796
Twin;$3.00;$5.00;$3.00;$5.00;$3.00;$5.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;53693;"{""coordinates"": [-123.14724499388946, 49.26812949810086], ""type"": ""Point""}";Kitsilano;B41831;49.26812949810086, -123.14724499388946
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;50249;"{""coordinates"": [-123.1599701857156, 49.26793714734045], ""type"": ""Point""}";Kitsilano;972007;49.26793714734045, -123.1599701857156
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50597;"{""coordinates"": [-123.16143348206616, 49.23435372050456], ""type"": ""Point""}";Kerrisdale;975705;49.23435372050456, -123.16143348206616
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54670;"{""coordinates"": [-123.16143348206616, 49.23435372050456], ""type"": ""Point""}";Kerrisdale;975707;49.23435372050456, -123.16143348206616
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50709;"{""coordinates"": [-123.16126522199283, 49.234365892214974], ""type"": ""Point""}";Kerrisdale;975706;49.234365892214974, -123.16126522199283
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;61316;"{""coordinates"": [-123.12243361576023, 49.27842965747628], ""type"": ""Point""}";Downtown;601005;49.27842965747628, -123.12243361576023
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;64951;"{""coordinates"": [-123.12268694973717, 49.27826323873467], ""type"": ""Point""}";Downtown;601013;49.27826323873467, -123.12268694973717
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;62324;"{""coordinates"": [-123.1228156190653, 49.27817828645728], ""type"": ""Point""}";Downtown;601017;49.27817828645728, -123.1228156190653
Twin;$1.00;$3.00;$1.00;$3.00;$1.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;63908;"{""coordinates"": [-123.12397122914548, 49.2774130104167], ""type"": ""Point""}";Downtown;601105;49.2774130104167, -123.12397122914548
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;67628;"{""coordinates"": [-123.13968733121817, 49.28596747696701], ""type"": ""Point""}";West End;161625;49.28596747696701, -123.13968733121817
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;63228;"{""coordinates"": [-123.13979788564974, 49.28586451945134], ""type"": ""Point""}";West End;161630;49.28586451945134, -123.13979788564974
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51751;"{""coordinates"": [-123.2115879049539, 49.26379128624384], ""type"": ""Point""}";West Point Grey;D04550;49.26379128624384, -123.2115879049539
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53550;"{""coordinates"": [-123.15267641700099, 49.26198141257065], ""type"": ""Point""}";Kitsilano;D12039;49.26198141257065, -123.15267641700099
Single;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;52656;"{""coordinates"": [-123.16473676146944, 49.264214008632806], ""type"": ""Point""}";Kitsilano;2M2421;49.264214008632806, -123.16473676146944
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;54666;"{""coordinates"": [-123.16460283447361, 49.26361552339258], ""type"": ""Point""}";Kitsilano;2M2508;49.26361552339258, -123.16460283447361
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;52570;"{""coordinates"": [-123.16476907866547, 49.2636824446673], ""type"": ""Point""}";Kitsilano;2M2505;49.2636824446673, -123.16476907866547
Twin;$4.00;$1.00;$4.00;$1.00;$4.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;53551;"{""coordinates"": [-123.16641163284864, 49.264373216393764], ""type"": ""Point""}";Kitsilano;3M2418;49.264373216393764, -123.16641163284864
Twin;$4.00;$1.00;$4.00;$1.00;$4.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;52552;"{""coordinates"": [-123.16641524857512, 49.264263109837984], ""type"": ""Point""}";Kitsilano;3M2422;49.264263109837984, -123.16641524857512
Twin;$4.00;$1.00;$4.00;$1.00;$4.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;52541;"{""coordinates"": [-123.1663279750888, 49.26371284567244], ""type"": ""Point""}";Kitsilano;3M2506;49.26371284567244, -123.1663279750888
Twin;$4.00;$1.00;$4.00;$1.00;$4.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;50554;"{""coordinates"": [-123.16655039075675, 49.263814836784725], ""type"": ""Point""}";Kitsilano;3M2501;49.263814836784725, -123.16655039075675
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51378;"{""coordinates"": [-123.144923091231, 49.26884637378587], ""type"": ""Point""}";Fairview;B31732;49.26884637378587, -123.144923091231
Single / Disability;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51350;"{""coordinates"": [-123.14510097118554, 49.26884830938753], ""type"": ""Point""}";Fairview;B31736;49.26884830938753, -123.14510097118554
Twin;$1.00;$3.00;$1.00;$3.00;$1.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;62301;"{""coordinates"": [-123.12421166219511, 49.277254239053], ""type"": ""Point""}";Downtown;601111;49.277254239053, -123.12421166219511
Twin;$1.00;$3.00;$1.00;$3.00;$1.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;61426;"{""coordinates"": [-123.12421166219511, 49.277254239053], ""type"": ""Point""}";Downtown;601113;49.277254239053, -123.12421166219511
Twin;$1.00;$3.00;$1.00;$3.00;$1.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;63880;"{""coordinates"": [-123.12433354463207, 49.27717328622688], ""type"": ""Point""}";Downtown;601117;49.27717328622688, -123.12433354463207
Twin;$2.00;$4.00;$2.00;$4.00;$2.00;$4.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51562;"{""coordinates"": [-123.06941214437198, 49.27524112755792], ""type"": ""Point""}";Grandview-Woodland;6C1016;49.27524112755792, -123.06941214437198
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;50025;"{""coordinates"": [-123.14133228267505, 49.267863778500534], ""type"": ""Point""}";Fairview;B41608;49.267863778500534, -123.14133228267505
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;50053;"{""coordinates"": [-123.14150315017449, 49.267866267929726], ""type"": ""Point""}";Fairview;B41612;49.267866267929726, -123.14150315017449
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;52032;"{""coordinates"": [-123.14184914873002, 49.267872050363984], ""type"": ""Point""}";Fairview;B41618;49.267872050363984, -123.14184914873002
Twin;$4.00;$5.00;$4.00;$5.00;$4.00;$5.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;64163;"{""coordinates"": [-123.14050099674438, 49.28612265569908], ""type"": ""Point""}";West End;711203;49.28612265569908, -123.14050099674438
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;64216;"{""coordinates"": [-123.13983911970577, 49.28644636726025], ""type"": ""Point""}";West End;711116;49.28644636726025, -123.13983911970577
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52715;"{""coordinates"": [-123.15337149112204, 49.26200036241543], ""type"": ""Point""}";Kitsilano;D12103;49.26200036241543, -123.15337149112204
Single;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51233;"{""coordinates"": [-123.11552065613837, 49.25879640707869], ""type"": ""Point""}";Fairview;D40505;49.25879640707869, -123.11552065613837
Twin;$3.00;$2.00;$3.00;$2.00;$3.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;64566;"{""coordinates"": [-123.11599729612027, 49.27313080153707], ""type"": ""Point""}";Downtown;341028;49.27313080153707, -123.11599729612027
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54736;"{""coordinates"": [-123.14201572668311, 49.26374583546828], ""type"": ""Point""}";Fairview;301619;49.26374583546828, -123.14201572668311
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53763;"{""coordinates"": [-123.14254478124622, 49.26375363946987], ""type"": ""Point""}";Fairview;301629;49.26375363946987, -123.14254478124622
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50515;"{""coordinates"": [-123.14271852305538, 49.26375684316952], ""type"": ""Point""}";Fairview;301633;49.26375684316952, -123.14271852305538
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50737;"{""coordinates"": [-123.1607609351604, 49.23458422626698], ""type"": ""Point""}";Kerrisdale;K12316;49.23458422626698, -123.1607609351604
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50513;"{""coordinates"": [-123.16179210129887, 49.23474493515076], ""type"": ""Point""}";Arbutus Ridge;K12405;49.23474493515076, -123.16179210129887
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;65474;"{""coordinates"": [-123.12771111634139, 49.29018215846749], ""type"": ""Point""}";Downtown;061418;49.29018215846749, -123.12771111634139
Twin;$4.00;$5.00;$4.00;$5.00;$4.00;$5.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;63255;"{""coordinates"": [-123.14061355436293, 49.28604762498069], ""type"": ""Point""}";West End;711205;49.28604762498069, -123.14061355436293
Twin;$3.00;$6.00;$3.00;$6.00;$3.00;$6.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;64159;"{""coordinates"": [-123.13615511226575, 49.29109112210221], ""type"": ""Point""}";West End;720805;49.29109112210221, -123.13615511226575
Twin;$3.00;$6.00;$3.00;$6.00;$3.00;$6.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;64272;"{""coordinates"": [-123.13615511226575, 49.29109112210221], ""type"": ""Point""}";West End;720807;49.29109112210221, -123.13615511226575
Twin;$3.00;$6.00;$3.00;$6.00;$3.00;$6.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;64055;"{""coordinates"": [-123.13677099229963, 49.29068301278519], ""type"": ""Point""}";West End;720821;49.29068301278519, -123.13677099229963
Twin;$3.00;$6.00;$3.00;$6.00;$3.00;$6.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;64244;"{""coordinates"": [-123.13689557718385, 49.29060008275703], ""type"": ""Point""}";West End;720825;49.29060008275703, -123.13689557718385
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53699;"{""coordinates"": [-123.06939689731267, 49.27605399567944], ""type"": ""Point""}";Grandview-Woodland;6C0920;49.27605399567944, -123.06939689731267
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52508;"{""coordinates"": [-123.06939937830619, 49.27594092471028], ""type"": ""Point""}";Grandview-Woodland;6C0922;49.27594092471028, -123.06939937830619
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52439;"{""coordinates"": [-123.13100272696782, 49.26433534990668], ""type"": ""Point""}";Fairview;B81150;49.26433534990668, -123.13100272696782
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52297;"{""coordinates"": [-123.13100272696782, 49.26433534990668], ""type"": ""Point""}";Fairview;B81152;49.26433534990668, -123.13100272696782
