METERHEAD;R_MF_9A_6P;R_MF_6P_10;R_SA_9A_6P;R_SA_6P_10;R_SU_9A_6P;R_SU_6P_10;RATE_MISC;TIMEINEFFE;T_MF_9A_6P;T_MF_6P_10;T_SA_9A_6P;T_SA_6P_10;T_SU_9A_6P;T_SU_6P_10;TIME_MISC;CREDITCARD;PAY_PHONE;Geom;Geo Local Area;METERID;geo_point_2d
Twin;$3.00;$1.00;$3.00;$1.00;$3.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;65250;"{""coordinates"": [-123.12529144789579, 49.28867262986008], ""type"": ""Point""}";Downtown;191233;49.28867262986008, -123.12529144789579
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52024;"{""coordinates"": [-123.17236206854179, 49.2642249321995], ""type"": ""Point""}";Kitsilano;303003;49.2642249321995, -123.17236206854179
Twin Bay Single;$3.00;$2.00;$3.00;$2.00;$3.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;61016;"{""coordinates"": [-123.12986368751864, 49.27943665229829], ""type"": ""Point""}";West End;161012;49.27943665229829, -123.12986368751864
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;64658;"{""coordinates"": [-123.1232792984055, 49.27308330502294], ""type"": ""Point""}";Downtown;170142;49.27308330502294, -123.1232792984055
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;62629;"{""coordinates"": [-123.12340513991352, 49.27316562062002], ""type"": ""Point""}";Downtown;170148;49.27316562062002, -123.12340513991352
Twin Bay Single;$8.00;$7.00;$8.00;$7.00;$8.00;$7.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;60294;"{""coordinates"": [-123.11600063918316, 49.285108359959516], ""type"": ""Point""}";Downtown;620502;49.285108359959516, -123.11600063918316
Twin Bay Single;$8.00;$7.00;$8.00;$7.00;$8.00;$7.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;60075;"{""coordinates"": [-123.11600063918316, 49.285108359959516], ""type"": ""Point""}";Downtown;620504;49.285108359959516, -123.11600063918316
Pay Station;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;Yes;69989;"{""coordinates"": [-123.13656198196082, 49.292284264216], ""type"": ""Point""}";West End;121829C;49.292284264216, -123.13656198196082
Pay Station;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;Yes;69988;"{""coordinates"": [-123.13727224853633, 49.29136304654959], ""type"": ""Point""}";West End;211829C;49.29136304654959, -123.13727224853633
Pay Station;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;Yes;69968;"{""coordinates"": [-123.13125058036327, 49.28587695458452], ""type"": ""Point""}";West End;231310C;49.28587695458452, -123.13125058036327
Pay Station;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;Yes;69986;"{""coordinates"": [-123.1434184572408, 49.290950412752984], ""type"": ""Point""}";West End;242012C;49.290950412752984, -123.1434184572408
Pay Station;$1.00;$3.00;$1.00;$3.00;$1.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;Yes;69987;"{""coordinates"": [-123.13977561740103, 49.291432222855825], ""type"": ""Point""}";West End;231914C;49.291432222855825, -123.13977561740103
Pay Station;$3.00;$2.00;$3.00;$2.00;$3.00;$2.00;$1.50;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;67851;"{""coordinates"": [-123.10126812320813, 49.283871827225354], ""type"": ""Point""}";Downtown;010114C;49.283871827225354, -123.10126812320813
Twin;$8.00;$7.00;$8.00;$7.00;$8.00;$7.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;65569;"{""coordinates"": [-123.11779987255831, 49.28868495334674], ""type"": ""Point""}";Downtown;021042;49.28868495334674, -123.11779987255831
Twin;$5.00;$2.00;$5.00;$2.00;$5.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;65121;"{""coordinates"": [-123.12241077646827, 49.289121661720216], ""type"": ""Point""}";Downtown;660301;49.289121661720216, -123.12241077646827
Twin;$3.00;$6.00;$3.00;$6.00;$3.00;$6.00;;;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;61363;"{""coordinates"": [-123.12106120401634, 49.27515529961472], ""type"": ""Point""}";Downtown;291116;49.27515529961472, -123.12106120401634
Twin;$3.00;$6.00;$3.00;$6.00;$3.00;$6.00;;;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;63506;"{""coordinates"": [-123.12152910431331, 49.27484461834847], ""type"": ""Point""}";Downtown;291132;49.27484461834847, -123.12152910431331
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;65933;"{""coordinates"": [-123.12539573261633, 49.275210440997334], ""type"": ""Point""}";Downtown;591231;49.275210440997334, -123.12539573261633
Pay Station;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;Yes;67211;"{""coordinates"": [-123.12618663806997, 49.27450122680941], ""type"": ""Point""}";Downtown;591310C;49.27450122680941, -123.12618663806997
